iter	Accuracy	Logloss
275	0.8037285173	0.4812554305
276	0.8040198077	0.4809614211
277	0.8037285173	0.4808082726
278	0.8040780658	0.4805364541
279	0.804223711	0.4800960796
280	0.804893679	0.4796840752
281	0.8051267113	0.4796064714
282	0.8055053889	0.4789671671
283	0.8066414215	0.4782231707
284	0.8078939703	0.4768742961
285	0.808389164	0.476370992
286	0.8087387125	0.4760300965
287	0.809758229	0.4754411045
288	0.8096417128	0.4749930421
289	0.8097290999	0.474682902
290	0.8101369065	0.4739894226
291	0.8106321002	0.4734297272
292	0.8113311972	0.472851865
293	0.811214681	0.4727462684
294	0.8113603262	0.4726551707
295	0.8113020682	0.4725618421
296	0.8114185843	0.4719948722
297	0.8121468104	0.4712104872
298	0.812612875	0.4707095909
299	0.812612875	0.4704654537
300	0.8130498107	0.470134772
301	0.8135450044	0.4692789798
302	0.814011069	0.4689557084
303	0.8138945529	0.4688262367
304	0.8140693271	0.4687144168
305	0.8146227789	0.4683689237
306	0.814651908	0.4679526391
307	0.815409263	0.4673893663
308	0.8156714244	0.4668324267
309	0.8159627148	0.466152278
310	0.8165452957	0.4655264965
311	0.8166326828	0.4653766746
312	0.8169822313	0.464862855
313	0.8172443927	0.4641432784
314	0.8177104573	0.4638285299
315	0.8183221672	0.463229623
316	0.8183512962	0.4625146027
317	0.818875619	0.4623988727
318	0.8187008447	0.4619699173
319	0.8192834256	0.4614484959
320	0.8191377804	0.4612348533
321	0.8197786193	0.4606118809
322	0.8202446839	0.4603032198
323	0.8200699097	0.4600023739
324	0.8205068453	0.4595540199
325	0.8213515875	0.4587358152
326	0.8212059423	0.4582972569
327	0.8220215555	0.4573762462
328	0.8223128459	0.4568865433
329	0.8232158462	0.4561677732
330	0.8238858142	0.4557616344
331	0.8238566851	0.455683519
332	0.8242062336	0.4552620086
333	0.824497524	0.4549848689
334	0.8246140402	0.4548574911
335	0.8245849112	0.4541955094
336	0.8248762016	0.4536947985
337	0.8253422662	0.4531663055
338	0.8254296534	0.4529604703
339	0.8256626857	0.452638152
340	0.8258083309	0.4522717592
341	0.825895718	0.4521132239
342	0.8260996213	0.4519694476
343	0.8260996213	0.4515702428
344	0.8264200408	0.4512542461
345	0.8263617827	0.450993892
346	0.8270026216	0.4506532531
347	0.8267404602	0.4501456638
348	0.8271482668	0.4497521953
349	0.827993009	0.4493916095
350	0.8281095252	0.449225569
351	0.8281386542	0.4488340796
352	0.8284590737	0.4485077596
353	0.8285173318	0.448393181
354	0.8285755899	0.4481102855
355	0.8285464608	0.4480250369
356	0.8286047189	0.4478180851
357	0.828662977	0.4472645461
358	0.8287794932	0.4471306533
359	0.8288377512	0.4468809529
360	0.8290125255	0.4468120696
361	0.8293038159	0.4466088748
362	0.8297116225	0.4460091169
363	0.8302359452	0.4450312506
364	0.8310806874	0.4444061518
365	0.8315176231	0.4437880777
366	0.8317797844	0.4433139926
367	0.8319545587	0.4431970513
368	0.8322458491	0.4425749813
369	0.8325953976	0.442115844
370	0.832857559	0.4419564845
371	0.832886688	0.4415687577
372	0.8328284299	0.4412859177
373	0.8331779784	0.4409479315
374	0.8334401398	0.440716992
375	0.8338188174	0.4404440434
376	0.8345470434	0.4396800337
377	0.8343431401	0.4393528928
378	0.8347509467	0.4390333477
379	0.8343431401	0.4386915906
380	0.8347800757	0.4385337098
381	0.83495485	0.4383530968
382	0.8354209147	0.4378473978
383	0.8355665599	0.4375328501
384	0.8357995922	0.4371177108
385	0.8365569473	0.4363641934
386	0.8369938829	0.435896633
387	0.8373725604	0.4354254575
388	0.8372269152	0.4351563849
389	0.8374016895	0.434952143
390	0.8371103991	0.4346997428
391	0.8372851733	0.4344355706
392	0.8378386251	0.4342631846
393	0.837780367	0.4339471935
394	0.8380425284	0.4334384295
395	0.8387124964	0.4326903882
396	0.8388581416	0.4325716945
397	0.8390620449	0.4322782192
398	0.8392076901	0.4321162079
399	0.8397902709	0.4315281971
400	0.839848529	0.4312025987
401	0.8396446257	0.4309775452
402	0.8397611419	0.4307789086
403	0.8401689484	0.4305879521
404	0.8401689484	0.4303132348
405	0.8404602389	0.4299627568
406	0.8409845616	0.4295071594
407	0.8412175939	0.4292200889
408	0.8416545296	0.4288585536
409	0.8418293038	0.4286452823
410	0.8420040781	0.428202982
411	0.8425866589	0.4278889277
412	0.8429070784	0.4275840396
413	0.8428196912	0.4273311763
414	0.8428196912	0.427192335
415	0.8431401107	0.4265610636
416	0.8431983688	0.4262956576
417	0.8437518206	0.4255730559
418	0.8439848529	0.4254041275
419	0.8437226915	0.4250352177
420	0.8438683367	0.4247887966
421	0.8443635304	0.4245273861
422	0.8449461113	0.4241363403
423	0.8450626274	0.4235356957
424	0.8455869502	0.4231093055
425	0.8455578211	0.4227522376
426	0.8457617244	0.4224104732
427	0.8458782406	0.4218101806
428	0.846169531	0.4216544505
429	0.8461112729	0.4214499022
430	0.8464025634	0.4211633005
431	0.8465773376	0.4210792489
432	0.8471307894	0.4203809052
433	0.8474512089	0.4200520947
434	0.8474512089	0.419637447
435	0.8476842412	0.4192719274
436	0.8479755316	0.4188967851
437	0.8483833382	0.4184489466
438	0.8485872415	0.4182153035
439	0.8489076609	0.4179883142
440	0.8491698223	0.4175407022
441	0.8490533061	0.4174900352
442	0.8492280804	0.4173312659
443	0.849635887	0.4169027144
444	0.8498397903	0.4168246765
445	0.8504806292	0.4163084348
446	0.8509466939	0.4159575468
447	0.8507719196	0.415725294
448	0.8507427906	0.4154684942
449	0.8510923391	0.4153244785
450	0.851762307	0.414958346
451	0.8515875328	0.4147883292
452	0.8520535974	0.4143388258
453	0.8523157588	0.4139279542
454	0.8531022429	0.4136877424
455	0.8530731139	0.4134510365
456	0.8532187591	0.4132257693
457	0.8526944364	0.412964069
458	0.8527818235	0.4127173941
459	0.8528983396	0.4125645083
460	0.8531022429	0.41223043
461	0.8540052432	0.4117297371
462	0.8539761142	0.4114970731
463	0.8540926304	0.4107419011
464	0.8544421789	0.4104421654
465	0.8542965336	0.4102428093
466	0.8547625983	0.4098681174
467	0.8549956306	0.4095028621
468	0.8550830178	0.4092395644
469	0.8556364696	0.4085613298
470	0.85592776	0.4075408182
471	0.8561899214	0.4074082586
472	0.8560734052	0.4073255257
473	0.8565685989	0.406956871
474	0.8565977279	0.4063333202
475	0.8564520827	0.4060604704
476	0.8567433731	0.4053992018
477	0.8570929216	0.4052848725
478	0.8568307603	0.4049720403
479	0.857355083	0.4046148612
480	0.8575007282	0.4042674275
481	0.8575007282	0.4041022197
482	0.8578211477	0.4038663866
483	0.8581998252	0.4034591826
484	0.8581124381	0.4032926165
485	0.8582872124	0.4031098417
486	0.8585785028	0.4026414985
487	0.8588697932	0.4021994698
488	0.8589571803	0.4020610486
489	0.859423245	0.4018369528
490	0.8597145354	0.4016160142
491	0.8597727935	0.4012599353
492	0.8598310516	0.400968181
493	0.8602388581	0.4004335201
494	0.8605884066	0.3999401556
495	0.8613166327	0.3995421988
496	0.8617535683	0.3992994478
497	0.8617826973	0.3989554998
498	0.8618118264	0.3985594702
499	0.8618118264	0.3982466968
500	0.8621613749	0.3979148199
501	0.862248762	0.3977517614
502	0.8621031168	0.3976117729
503	0.8628313428	0.3969104627
504	0.8630935042	0.3967260942
505	0.8631808913	0.3963987243
506	0.8633556656	0.3962223107
507	0.8635595689	0.3959702124
508	0.8634721818	0.3956260535
509	0.8645499563	0.3949174164
510	0.8645208273	0.3946479859
511	0.8646082144	0.3942087452
512	0.8647538596	0.3939376916
513	0.8651907952	0.3934104178
514	0.8654529566	0.3929705807
515	0.8654529566	0.3927532367
516	0.8652781823	0.3924726091
517	0.8655112147	0.3922218368
518	0.8655986018	0.3922191964
519	0.8660064084	0.3916790492
520	0.866443344	0.3910207875
521	0.8665598602	0.3906142014
522	0.8663559569	0.3904038538
523	0.8667346344	0.3901809095
524	0.8667928925	0.3899103094
525	0.8667346344	0.3896177706
526	0.867142441	0.3895326961
527	0.8674046024	0.3889604744
528	0.867841538	0.3885292147
529	0.8680163123	0.3883269794
530	0.8683658608	0.3878704283
531	0.8684532479	0.3877837364
532	0.8687154093	0.3873725992
533	0.8688610545	0.387149705
534	0.8688901835	0.3870735124
535	0.8693271191	0.3866251257
536	0.869210603	0.3861114727
537	0.869239732	0.3858000199
538	0.8692979901	0.3854609372
539	0.8697640548	0.3852712506
540	0.8698223128	0.385196531
541	0.8702592485	0.3850322527
542	0.8702883775	0.384946352
543	0.8706961841	0.3847174613
544	0.8710166036	0.3844338749
545	0.8722400233	0.3835750847
546	0.8724147976	0.3833650149
547	0.8722108943	0.3829208697
548	0.8725604428	0.3826402578
549	0.8727643461	0.3822229317
550	0.8729391203	0.381838552
551	0.8726769589	0.3816068924
552	0.8727934751	0.3812980975
553	0.8729099913	0.3811611612
554	0.8729973784	0.380917519
555	0.8733469269	0.380643865
556	0.8734925721	0.3803446553
557	0.873434314	0.3801382856
558	0.8734925721	0.379886943
559	0.8736673463	0.3797851675
560	0.8740460239	0.3794838273
561	0.8740751529	0.3793279614
562	0.874104282	0.3791653944
563	0.874133411	0.3788632766
564	0.8742207981	0.3787245243
565	0.8747451209	0.3781884841
566	0.8750364113	0.3780417581
567	0.8750946694	0.377863755
568	0.8752403146	0.3777547627
569	0.8750072823	0.3773422374
570	0.8756481212	0.3769548294
571	0.8759685406	0.3767830449
572	0.8755898631	0.3765121411
573	0.8759394116	0.3763379694
574	0.8763472182	0.3759180301
575	0.8763763472	0.3757454155
576	0.8764054763	0.3756273464
577	0.8768132828	0.3754510132
578	0.8762889601	0.3752387173
579	0.8761433149	0.3750081278
580	0.8762598311	0.3745952226
581	0.8764637343	0.3743875415
582	0.8766385086	0.3742051347
583	0.8770754442	0.3739352286
584	0.8769589281	0.3738673102
585	0.8766676376	0.3737996383
586	0.8768132828	0.3735197721
587	0.8768132828	0.3734237718
588	0.8769880571	0.3732173424
589	0.8773667346	0.373100804
590	0.8773667346	0.372909341
591	0.8775415089	0.3724034336
592	0.8781532188	0.3719694016
593	0.8782114768	0.371800662
594	0.8778910574	0.3715159841
595	0.8779784445	0.3713939196
596	0.8781532188	0.371206353
597	0.8786484125	0.3709253498
598	0.8788523158	0.3707340272
599	0.8794057676	0.3703735795
600	0.8794348966	0.3701937111
601	0.8796679289	0.369819226
602	0.8796679289	0.3696535269
603	0.8798718322	0.3692996835
604	0.8799592193	0.3692362397
605	0.8801922517	0.3689552594
606	0.8803087678	0.3688033245
607	0.8802213807	0.3686583897
608	0.8803087678	0.3685009785
609	0.8803670259	0.3682182492
610	0.8810661229	0.3676851669
611	0.8810661229	0.3675015827
612	0.881095252	0.3672567212
613	0.8811826391	0.3671475948
614	0.8812117681	0.3668774202
615	0.8811826391	0.3664635875
616	0.8814448005	0.3661280707
617	0.8819108651	0.3658380038
618	0.8819108651	0.3654590119
619	0.8821438975	0.365223145
620	0.8824643169	0.3650845769
621	0.8824351879	0.3648781349
622	0.8826099621	0.3647561158
623	0.8827847364	0.3642967733
624	0.8829012525	0.36404132
625	0.8833381882	0.3636463366
626	0.8834838334	0.3633072655
627	0.8833673172	0.3632611852
628	0.8836877367	0.3630287974
629	0.8833381882	0.3627168408
630	0.8834255753	0.3625928639
631	0.8841246723	0.3621790139
632	0.8843285756	0.3619565185
633	0.8842120594	0.3616799365
634	0.8841538013	0.3615060932
635	0.8842120594	0.3613614934
636	0.8842411885	0.3609929287
637	0.8847072531	0.3607930918
638	0.8849985435	0.360504846
639	0.8849985435	0.3602531276
640	0.8855811244	0.359933974
641	0.8856393825	0.3598146629
642	0.8857267696	0.3597450781
643	0.8862802214	0.3592258683
644	0.8862802214	0.3589286905
645	0.8864549956	0.3587834901
646	0.8861928343	0.3585748646
647	0.8861345762	0.3583635047
648	0.8862219633	0.3581842402
649	0.886746286	0.3576838907
650	0.8866297699	0.3576037869
651	0.8868628022	0.3573409549
652	0.8871249636	0.3571930845
653	0.8870375765	0.3568788028
654	0.8875036411	0.3566501593
655	0.887416254	0.3565192559
656	0.8875036411	0.3562054436
657	0.8875910283	0.3559746731
658	0.8879988348	0.3557431637
659	0.8885522866	0.3552761358
660	0.8884066414	0.3550244104
661	0.8889309642	0.3548045497
662	0.8889600932	0.3546007612
663	0.8892805127	0.3544912003
664	0.8893096417	0.3542234079
665	0.8891057384	0.3538522477
666	0.8887561899	0.3536697093
667	0.8890766094	0.3532886637
668	0.8889892223	0.3528417995
669	0.889513545	0.3523910331
670	0.8896009321	0.3522811675
671	0.8896883193	0.3519515026
672	0.8901543839	0.3515513428
673	0.8905039324	0.3514341259
674	0.8905039324	0.3510505873
675	0.8905913195	0.3508193455
676	0.8906787067	0.3504293003
677	0.8907660938	0.3501898245
678	0.89088261	0.3499454878
679	0.8911156423	0.3497022631
680	0.8912030294	0.3494284598
681	0.8916690941	0.3488863334
682	0.8916690941	0.3488372208
683	0.8921934168	0.3486074732
684	0.8924555782	0.3483268206
685	0.8923973201	0.3481970414
686	0.892280804	0.3480284346
687	0.8926012234	0.3479252878
688	0.8925429653	0.3478737073
689	0.8929216429	0.3475667603
690	0.8933003204	0.3472154815
691	0.8935042237	0.3468924843
692	0.8935624818	0.3466459018
693	0.8932420623	0.3463988451
694	0.8932711914	0.3462744354
695	0.8934459656	0.3459783593
696	0.8933877075	0.345731545
697	0.8934750947	0.3455722755
698	0.8937955141	0.3452629624
699	0.8939411593	0.3451932425
700	0.8940576755	0.3448685066
701	0.8940285465	0.3448203342
702	0.8939120303	0.3446776702
703	0.8937955141	0.3445480069
704	0.8941159336	0.3441511926
705	0.8942324498	0.3439088849
706	0.8944654821	0.3435911466
707	0.8946402563	0.3434283148
708	0.8945819983	0.3432162654
709	0.8947567725	0.3430615266
710	0.8952519662	0.3426050622
711	0.8955141276	0.3423881269
712	0.8955141276	0.3422058006
713	0.8957180309	0.342098751
714	0.895776289	0.3419678806
715	0.895805418	0.3416521558
716	0.8959219342	0.341477742
717	0.8960093213	0.3411853683
718	0.8960967084	0.3409694731
719	0.8961549665	0.3405659503
720	0.8965919021	0.3403060449
721	0.8969414506	0.3400652597
722	0.8967666764	0.3399118615
723	0.8969123216	0.3395980756
724	0.8972618701	0.3393757016
725	0.8974366443	0.339304836
726	0.8974657734	0.3391098742
727	0.8973783863	0.3389340604
728	0.8975822895	0.3386690671
729	0.8974949024	0.3385710411
730	0.8973492572	0.3384148538
731	0.8976696767	0.3382218899
732	0.8976696767	0.3378677834
733	0.8976696767	0.337763239
734	0.8978444509	0.3375192836
735	0.89787358	0.3374286511
736	0.89787358	0.3372445745
737	0.8983979027	0.3369178059
738	0.8983979027	0.3368583177
739	0.8984852898	0.3367904113
740	0.8986600641	0.3366343281
741	0.8985435479	0.3363867909
742	0.8986600641	0.3362309793
743	0.8982522575	0.3360283008
744	0.8984561608	0.3357933001
745	0.8990096126	0.3354937324
746	0.8989804835	0.3353368842
747	0.8990969997	0.335233432
748	0.8989513545	0.3350435931
749	0.8989513545	0.3346692701
750	0.8992426449	0.3343532558
751	0.8994174192	0.3341692454
752	0.8997087096	0.3339047887
753	0.8998252258	0.3337162334
754	0.8998252258	0.3336466282
755	0.8998834838	0.3335493159
756	0.9000582581	0.3334803661
757	0.9000582581	0.3333600056
758	0.9001165162	0.3332234787
759	0.9004078066	0.332984776
760	0.9004369356	0.3329008757
761	0.9004660647	0.3326713466
762	0.9003786775	0.3325797728
763	0.9004660647	0.3324059227
764	0.9004078066	0.3322737025
765	0.9004951937	0.3321449129
766	0.9006408389	0.3319398331
767	0.9005534518	0.3318593262
768	0.9009612584	0.3315728567
769	0.9014855811	0.3312316854
770	0.9016312263	0.3310753059
771	0.9016312263	0.3307242875
772	0.9018933877	0.330561514
773	0.9017477425	0.3305179857
774	0.9022138072	0.3302955288
775	0.9019807748	0.3298776832
776	0.9021555491	0.3297141196
777	0.90212642	0.3296159214
778	0.9023885814	0.3293762162
779	0.9023011943	0.3291771804
780	0.9030585494	0.3288597591
781	0.9039324206	0.3281800531
782	0.9037576464	0.327702647
783	0.9038159045	0.3276415445
784	0.9038741625	0.3275343875
785	0.9039615497	0.3273601964
786	0.9037867754	0.3272153945
787	0.9039324206	0.327125297
788	0.9039032916	0.3267557402
789	0.9038159045	0.3265521955
790	0.9039032916	0.3263947889
791	0.9039906787	0.3263347579
792	0.9038741625	0.3262986637
793	0.9039906787	0.3259517523
794	0.9041363239	0.3258848851
795	0.9043110982	0.3257015762
796	0.9045150015	0.3256211258
797	0.9046023886	0.3252714504
798	0.9044276143	0.3249123728
799	0.9047771628	0.3246964447
800	0.9048354209	0.3243137552
801	0.9052432275	0.3241234211
802	0.9060297116	0.3236438037
803	0.9058258083	0.3235780227
804	0.9058258083	0.3234128202
805	0.9059714535	0.3231853714
806	0.9060297116	0.322933517
807	0.9061170987	0.3228454714
808	0.9063792601	0.3225953856
809	0.9063792601	0.3224027392
810	0.9064957763	0.3221061639
811	0.9069327119	0.3217335687
812	0.9067870667	0.3214894777
813	0.9071366152	0.321281971
814	0.9068744538	0.3211873545
815	0.9073113895	0.3210185691
816	0.9071948733	0.3209166814
817	0.9072240023	0.3208051129
818	0.9071657442	0.3206322534
819	0.9073113895	0.320332803
820	0.9073405185	0.3201136699
821	0.9076318089	0.3197530068
822	0.9078939703	0.319464612
823	0.907660938	0.3192357333
824	0.9077483251	0.3189310861
825	0.9079230993	0.3188784756
826	0.9079522284	0.3187388695
827	0.9079230993	0.3186352446
828	0.9078357122	0.3185896328
829	0.908360035	0.3182563569
830	0.908360035	0.3182163161
831	0.9087678415	0.3179739756
832	0.9089134867	0.317891807
833	0.9087969706	0.3177946419
834	0.9087387125	0.3172799315
835	0.9087969706	0.3171220169
836	0.9087969706	0.3169298643
837	0.9090300029	0.3167871659
838	0.9092921643	0.3165021732
839	0.9095251966	0.3162526357
840	0.9096417128	0.3158875814
841	0.9095834547	0.3157993995
842	0.9095543257	0.3156190048
843	0.9096417128	0.3155323347
844	0.909816487	0.3153539047
845	0.909758229	0.315276307
846	0.909787358	0.3151364466
847	0.909787358	0.3150259973
848	0.9100203903	0.3148504877
849	0.9099038742	0.3148243304
850	0.9100203903	0.3145749295
851	0.9100495194	0.3144684383
852	0.9099912613	0.3143356087
853	0.9103699388	0.3139582201
854	0.9102242936	0.3136365532
855	0.9103699388	0.3133514854
856	0.910515584	0.3132228313
857	0.9106029712	0.313001647
858	0.9105447131	0.312778633
859	0.9108651325	0.3125912711
860	0.9108651325	0.3125688517
861	0.9107777454	0.3121833196
862	0.9108360035	0.3121024065
863	0.9108942616	0.3118972824
864	0.9109525197	0.3117895934
865	0.9113603262	0.3114643005
866	0.9117390038	0.3111377096
867	0.911884649	0.3109813334
868	0.91185552	0.3108221374
869	0.9118263909	0.3107617656
870	0.9118263909	0.3106737275
871	0.9118263909	0.3106303273
872	0.9117972619	0.3102908229
873	0.9120011652	0.3102312684
874	0.9123798427	0.3099696976
875	0.912583746	0.3097227812
876	0.9127002622	0.3095862857
877	0.9124963589	0.3095002491
878	0.912583746	0.3092514144
879	0.9127002622	0.3091010808
880	0.9128459074	0.3090277158
881	0.9128459074	0.3089997603
882	0.9129041655	0.3088692424
