iter	MultiClass
125	0.4889446684
126	0.4885992938
127	0.4883795097
128	0.4881937133
129	0.4878768603
130	0.4876941808
131	0.4872930875
132	0.4869712989
133	0.4868428986
134	0.4866640577
135	0.4865400561
136	0.4862073695
137	0.4859979999
138	0.4857993336
139	0.4855327201
140	0.4853912124
141	0.4853137766
142	0.4850327003
143	0.4848892463
144	0.4847061276
145	0.4843399455
146	0.48429206
147	0.4841150077
148	0.4839899346
149	0.4838073784
150	0.4836380377
151	0.483510662
152	0.4830711563
153	0.4827956298
154	0.4827755471
155	0.4826621525
156	0.4824446368
157	0.4822557592
158	0.4819711671
159	0.481705701
160	0.4812735251
161	0.4810655628
162	0.4810222727
163	0.4809098411
164	0.4807327717
165	0.4806385125
166	0.4803429057
167	0.4800154746
168	0.4799002091
169	0.4797139501
170	0.4795103238
171	0.4793460954
172	0.4791031426
173	0.4788611784
174	0.4786708498
175	0.4785091192
176	0.478384075
177	0.4782167982
178	0.4782087331
179	0.478119194
180	0.4779383003
181	0.477678423
182	0.4775573557
183	0.4772631273
184	0.4770230108
185	0.4768893853
186	0.4766840951
187	0.4765843831
188	0.4764780952
189	0.4761831788
190	0.4761034497
191	0.4759048726
192	0.4756989756
193	0.4755213713
194	0.4753871588
195	0.4751059418
196	0.4747578535
197	0.4745731353
198	0.4743971077
199	0.4742965732
200	0.4740880417
201	0.4738269547
202	0.473546553
203	0.4733768996
204	0.4732088981
205	0.4729921139
206	0.4729084218
207	0.4728069932
208	0.4725544063
209	0.4723074065
210	0.4721735485
211	0.4720574816
212	0.4719474806
213	0.4718651698
214	0.4716059296
215	0.4715041545
216	0.471414982
217	0.4711520526
218	0.4710704344
219	0.4709359588
220	0.4708714281
221	0.4706994167
222	0.4705735863
223	0.4704883613
224	0.4702714863
225	0.4700128284
226	0.469855546
227	0.4697048124
228	0.4694301054
229	0.4693061692
230	0.469102888
231	0.4690045513
232	0.4687373628
233	0.4685689289
234	0.4684522404
235	0.468272461
236	0.4682119032
237	0.468006753
238	0.467910245
239	0.4676718134
240	0.46759218
241	0.4672820462
242	0.4671204733
243	0.4670073206
244	0.4667468245
245	0.4665828509
246	0.4663507695
247	0.4661263423
248	0.4659030173
249	0.4656614286
250	0.4655555034
251	0.4654326328
252	0.4653451642
253	0.4651891045
254	0.4650260409
255	0.464969066
256	0.4648351191
257	0.4646810668
258	0.4645640955
259	0.4644299547
260	0.4642142803
261	0.4640064428
262	0.4638605128
263	0.4637570166
264	0.4635405102
265	0.4634035046
266	0.4631692967
267	0.4630343809
268	0.462816012
269	0.4626179769
270	0.4625213044
271	0.4624171868
272	0.4621735564
273	0.4619946514
274	0.4618572256
275	0.4615745174
276	0.4614041771
277	0.4612270576
278	0.4610784342
279	0.4609395005
280	0.4607169664
281	0.4606271234
282	0.4605388624
283	0.4604066412
284	0.4602892889
285	0.4601107954
286	0.4599945985
287	0.4598395344
288	0.4596672909
289	0.4594764981
290	0.4593105619
291	0.4592060832
292	0.4590448494
293	0.4588188728
294	0.4586351974
295	0.4584311262
296	0.458292353
297	0.4580587273
298	0.4580199816
299	0.4579534351
300	0.4578562546
301	0.4576461074
302	0.4575331569
303	0.4573861613
304	0.4572510216
305	0.4571458091
306	0.4569544065
307	0.4568224029
308	0.4566384053
309	0.4565482937
310	0.4564769994
311	0.4563188454
312	0.456166207
313	0.4561286679
314	0.4560021613
315	0.455908651
316	0.4558561128
317	0.4557029642
318	0.455571634
319	0.4554759856
320	0.4553534419
321	0.4552059541
322	0.4550881608
323	0.4549353275
324	0.4548312759
325	0.4546624316
326	0.4545265534
327	0.4544231632
328	0.4542495673
329	0.4541169823
330	0.4539082311
331	0.453778315
332	0.4536538908
333	0.4535087063
334	0.4534114908
335	0.4533108877
336	0.4531267142
337	0.4529893084
338	0.4528805929
339	0.4527372249
340	0.4526576947
341	0.4524827407
342	0.452308053
343	0.4522347962
344	0.4521676909
345	0.4520426086
346	0.4519409162
347	0.4517385572
348	0.4516794772
349	0.4515652262
350	0.4514894899
351	0.4513928691
352	0.451196044
353	0.4510841674
354	0.45089913
355	0.4507757509
356	0.4505895232
357	0.4504118505
358	0.4503281661
359	0.4501879185
360	0.4500025406
361	0.4498661696
362	0.4497479145
363	0.4496740887
364	0.4496047433
365	0.4494256742
366	0.4492643718
367	0.449064568
368	0.4488662796
369	0.4486816229
370	0.4485444916
371	0.4484372001
372	0.4482474015
373	0.4481887992
374	0.4480315413
375	0.4478010408
376	0.4476674077
377	0.4474125432
378	0.4472762771
379	0.4471799349
380	0.4470501001
381	0.4468669046
382	0.4467346969
383	0.4466238851
384	0.4465231853
385	0.4464001832
386	0.4462413835
387	0.4461758253
388	0.4460480618
389	0.4458719576
390	0.4457891389
391	0.4456643405
392	0.4455851941
393	0.4454601702
394	0.4451863732
395	0.4450788771
396	0.4450059253
397	0.4449132999
398	0.4448846829
399	0.444773925
400	0.4446618402
401	0.4445782313
402	0.4445133981
403	0.4443398185
404	0.4441911178
405	0.4440767548
406	0.4438800293
407	0.4437338722
408	0.4436618027
409	0.4434909259
410	0.4434047245
411	0.4433148094
412	0.4431188348
413	0.4430584019
414	0.4430141457
415	0.4429649055
416	0.4428128669
417	0.4427016347
418	0.4426046264
419	0.4424917476
420	0.4424402319
421	0.442352039
422	0.4422371178
423	0.4420012949
424	0.4419118385
425	0.4418477337
426	0.4417451673
427	0.4416234798
428	0.4414532121
429	0.4413014293
430	0.4411304524
431	0.4410645659
432	0.4408705791
433	0.4407328983
434	0.4406494798
435	0.440589668
436	0.4405385052
437	0.4403913266
438	0.440315037
439	0.4401583212
440	0.4400628347
441	0.4399401059
442	0.4398004194
443	0.4396676553
444	0.4395990412
445	0.4394838608
446	0.4394176002
447	0.4393486017
448	0.4392338586
449	0.4391183617
450	0.4389276859
451	0.4387801542
452	0.4386965257
453	0.4386227842
454	0.4385069045
455	0.4384194331
456	0.4383583304
457	0.4382701877
458	0.4381023024
459	0.4379535155
460	0.4377413361
461	0.4375590737
462	0.4374552817
463	0.437368112
464	0.4373061763
465	0.4371884585
466	0.4370203577
467	0.4368796585
468	0.4368215691
469	0.4366530367
470	0.4365212043
471	0.436433052
472	0.4363025163
473	0.4361232226
474	0.4360536787
475	0.435826999
476	0.4357472699
477	0.4357088249
478	0.4356231601
479	0.4355067789
480	0.4353510842
481	0.4353123998
482	0.4351810683
483	0.4349477967
484	0.4348044282
485	0.434756807
486	0.4346730027
487	0.4345928026
488	0.4345177498
489	0.4343372369
490	0.4342282535
491	0.4341208377
492	0.4339843057
493	0.4339175933
494	0.4337909749
495	0.4337517649
496	0.4336495509
497	0.4335513557
498	0.433433862
499	0.4332802894
